Variable,Long name,Standard name,Units
utendwtem,Tendency of Eastward Wind Due to TEM Upward Advection,tendency_of_eastward_wind_due_to_advection_by_upward _transformed_eulerian_mean_air_velocity,m s-1 d-1
uv,Product of Eastward Wind and Northward Wind,product_of_eastward_wind_and_northward_wind,m2 s-2
uwap,Product of Eastward Wind and Omega,product_of_eastward_wind_and_lagrangian_tendency_of_air _pressure,Pa m s-2
v2,Mean-Squared Northward Wind Speed,square_of_northward_wind,m2 s-2
va,Northward Wind,northward_wind,m s-1
va7h,Northward Wind,northward_wind,m s-1
va27,Northward Wind,northward_wind,m s-1
va100m,Northward Wind at 100m,northward_wind,m s-1
vas,Northward Near-Surface Wind,northward_wind,m s-1
vegFrac,Total Vegetated Percentage Cover,area_fraction,%
vegHeight,Height of the Vegetation Canopy,canopy_height,m
vegHeightCrop,Height of Crops,canopy_height,m
vegHeightGrass,Height of Grass,canopy_height,m
vegHeightPasture,Height of Pastures,canopy_height,m
vegHeightShrub,Height of Shrubs,canopy_height,m
vegHeightTree,Height of Trees,canopy_height,m
vmo,Ocean Mass Y Transport,ocean_mass_y_transport,kg s-1
vmrox,"Mole Fraction of Odd Oxygen (O, O3 and O1D)",mole_fraction_of_ox_in_air,mol mol-1
vo,Sea Water Y Velocity,sea_water_y_velocity,m s-1
volcello,Ocean Grid-Cell Volume,ocean_volume,m3
volo,Sea Water Volume,sea_water_volume,m3
vortmean,Relative Vorticity,atmosphere_relative_vorticity,s-1
vqint,Northward Humidity Transport,integral_wrt_height_of_product_of_northward_wind_and _specific_humidity,m2 s-1
vsf,Virtual Salt Flux into Sea Water,virtual_salt_flux_into_sea_water,kg m-2 s-1
vsfcorr,Virtual Salt Flux Correction,virtual_salt_flux_correction,kg m-2 s-1
vsfevap,Virtual Salt Flux into Sea Water Due to Evaporation,virtual_salt_flux_into_sea_water_due_to_evaporation,kg m-2 s-1
vsfpr,Virtual Salt Flux into Sea Water Due to Rainfall,virtual_salt_flux_into_sea_water_due_to_rainfall,kg m-2 s-1
vsfriver,Virtual Salt Flux into Sea Water from Rivers,virtual_salt_flux_into_sea_water_from_rivers,kg m-2 s-1
vsfsit,Virtual Salt Flux into Sea Water Due to Sea Ice Thermodynamics,virtual_salt_flux_into_sea_water_due_to_sea_ice _thermodynamics,kg m-2 s-1
vt,Product of Air Temperature and Northward Wind,product_of_northward_wind_and_air_temperature,K m s-1
vt100,Northward Eddy Temperature Flux,covariance_over_longitude_of_northward_wind_and_air _temperature,K m s-1
vtem,Transformed Eulerian Mean Northward Wind,northward_transformed_eulerian_mean_air_velocity,m s-1
vtendnogw,Northward Acceleration Due to Non-Orographic Gravity Wave Drag,tendency_of_northward_wind_due_to_nonorographic_gravity _wave_drag,m s-2
vtendnogw27,Northward Acceleration Due to Non-Orographic Gravity Wave Drag,tendency_of_northward_wind_due_to_nonorographic_gravity _wave_drag,m s-2
vtendogw,Northward Acceleration Due to Orographic Gravity Wave Drag,tendency_of_northward_wind_due_to_orographic_gravity _wave_drag,m s-2
vwap,Product of Northward Wind and Omega,product_of_northward_wind_and_lagrangian_tendency_of _air_pressure,Pa m s-2
wa,Upward Air Velocity,upward_air_velocity,m s-1
wap,Omega (=dp/dt),lagrangian_tendency_of_air_pressure,Pa s-1
wap2,Mean-Squared Vertical Velocity (Omega),square_of_lagrangian_tendency_of_air_pressure,Pa2 s-2
wap4,Omega (=dp/dt),lagrangian_tendency_of_air_pressure,Pa s-1
wap7h,Omega (=dp/dt),lagrangian_tendency_of_air_pressure,Pa s-1
wap27,Omega (=dp/dt),lagrangian_tendency_of_air_pressure,Pa s-1
wap500,Pressure Tendency,lagrangian_tendency_of_air_pressure,Pa s-1
wbptemp7h,Wet Bulb Potential Temperature,wet_bulb_potential_temperature,K
wetbc,Wet Deposition Rate of Black Carbon Aerosol Mass,minus_tendency_of_atmosphere_mass_content_of_elemental _carbon_dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1
wetdust,Wet Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry _aerosol_particles_due_to_wet_deposition,kg m-2 s-1
wetlandCH4,Grid Averaged Methane Emissions from Wetlands,surface_net_upward_mass_flux_of_methane_due_to_emission _from_wetland_biological_processes,kg m-2 s-1
wetlandCH4cons,Grid Averaged Methane Consumption (Methanotrophy) from Wetlands,surface_downward_mass_flux_of_methane_due_to_wetland _biological_consumption,kg m-2 s-1
wetlandCH4prod,Grid Averaged Methane Production (Methanogenesis) from Wetlands,surface_upward_mass_flux_of_methane_due_to_emission _from_wetland_biological_production,kg m-2 s-1
wetlandFrac,Wetland Percentage Cover,area_fraction,%
wetnh3,Wet Deposition Rate of NH3,minus_tendency_of_atmosphere_mass_content_of_ammonia _due_to_wet_deposition,kg m-2 s-1
wetnh4,Wet Deposition Rate of NH4,minus_tendency_of_atmosphere_mass_content_of_ammonium _dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1
wetnoy,Wet Deposition Rate of NOy Including Aerosol Nitrate,minus_tendency_of_atmosphere_mass_content_of_noy _expressed_as_nitrogen_due_to_wet_deposition,kg m-2 s-1
wetoa,Wet Deposition Rate of Dry Aerosol Total Organic Matter,minus_tendency_of_atmosphere_mass_content_of _particulate_organic_matter_dry_aerosol_particles_due_to _wet_deposition,kg m-2 s-1
wetso2,Wet Deposition Rate of SO2,minus_tendency_of_atmosphere_mass_content_of_sulfur _dioxide_due_to_wet_deposition,kg m-2 s-1
wetso4,Wet Deposition Rate of SO4,minus_tendency_of_atmosphere_mass_content_of_sulfate _dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1
wetss,Wet Deposition Rate of Sea-Salt Aerosol,minus_tendency_of_atmosphere_mass_content_of_sea_salt _dry_aerosol_particles_due_to_wet_deposition,kg m-2 s-1
wfcorr,Water Flux Correction,water_flux_correction,kg m-2 s-1
wfo,Water Flux into Sea Water,water_flux_into_sea_water,kg m-2 s-1
wfonocorr,Water Flux into Sea Water Without Flux Correction,water_flux_into_sea_water_without_flux_correction,kg m-2 s-1
wilt,Wilting Point,volume_fraction_of_condensed_water_in_soil_at_wilting _point,%
wmo,Upward Ocean Mass Transport,upward_ocean_mass_transport,kg s-1
wo,Sea Water Vertical Velocity,upward_sea_water_velocity,m s-1
wsgmax10m,Maximum Wind Speed of Gust at 10m,wind_speed_of_gust,m s-1
wsgmax100m,Maximum Wind Speed of Gust at 100m,wind_speed_of_gust,m s-1
wtd,Water Table Depth,water_table_depth,m
wtem,Transformed Eulerian Mean Upward Wind,upward_transformed_eulerian_mean_air_velocity,m s-1
xgwdparam,Eastward Gravity Wave Drag,atmosphere_eastward_stress_due_to_gravity_wave_drag,Pa
xvelbase,X-Component of Land Ice Basal Velocity,land_ice_basal_x_velocity,m s-1
xvelmean,X-Component of Land Ice Vertical Mean Velocity,land_ice_vertical_mean_x_velocity,m s-1
xvelsurf,X-Component of Land Ice Surface Velocity,land_ice_surface_x_velocity,m s-1
ygwdparam,Northward Gravity Wave Drag,atmosphere_northward_stress_due_to_gravity_wave_drag,Pa
yvelbase,Y-Component of Land Ice Basal Velocity,land_ice_basal_y_velocity,m s-1
yvelmean,Y-Component of Land Ice Vertical Mean Velocity,land_ice_vertical_mean_y_velocity,m s-1
yvelsurf,Y-Component of Land Ice Surface Velocity,land_ice_surface_y_velocity,m s-1
zfull,Altitude of Model Full-Levels,height_above_reference_ellipsoid,m
zfullo,Depth Below Geoid of Ocean Layer,depth_below_geoid,m
zg,Geopotential Height,geopotential_height,m
zg7h,Geopotential Height,geopotential_height,m
zg10,Geopotential Height at 10hPa,geopotential_height,m
zg27,Geopotential Height,geopotential_height,m
zg100,Geopotential Height at 100hPa,geopotential_height,m
zg500,Geopotential Height at 500hPa,geopotential_height,m
zg1000,Geopotential Height at 1000hPa,geopotential_height,m
zhalf,Altitude of Model Half-Levels,height_above_reference_ellipsoid,m
zhalfo,Depth Below Geoid of Interfaces Between Ocean Layers,depth_below_geoid,m
zmeso,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,mole_concentration_of_mesozooplankton_expressed_as _carbon_in_sea_water,mol m-3
zmesoos,Surface Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,mole_concentration_of_mesozooplankton_expressed_as _carbon_in_sea_water,mol m-3
zmicro,Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,mole_concentration_of_microzooplankton_expressed_as _carbon_in_sea_water,mol m-3
zmicroos,Surface Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,mole_concentration_of_microzooplankton_expressed_as _carbon_in_sea_water,mol m-3
zmisc,Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,mole_concentration_of_miscellaneous_zooplankton _expressed_as_carbon_in_sea_water,mol m-3
zmiscos,Surface Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,mole_concentration_of_miscellaneous_zooplankton _expressed_as_carbon_in_sea_water,mol m-3
zmla,Height of Boundary Layer,atmosphere_boundary_layer_thickness,m
zmlwaero,Zonal Mean Longwave Heating Rate Due to Volcanic Aerosols,tendency_of_air_temperature_due_to_longwave_heating _from_volcanic_ambient_aerosol_particles,K s-1
zmswaero,Zonal Mean Shortwave Heating Rate Due to Volcanic Aerosols,tendency_of_air_temperature_due_to_shortwave_heating _from_volcanic_ambient_aerosol_particles,K s-1
zmtnt,Zonal Mean Diabatic Heating Rates,tendency_of_air_temperature_due_to_diabatic_processes,K s-1
zo2min,Depth of Oxygen Minimum Concentration,depth_at_shallowest_local_minimum_in_vertical_profile _of_mole_concentration_of_dissolved_molecular_oxygen_in _sea_water,m
zooc,Zooplankton Carbon Concentration,mole_concentration_of_zooplankton_expressed_as_carbon _in_sea_water,mol m-3
zoocos,Surface Zooplankton Carbon Concentration,mole_concentration_of_zooplankton_expressed_as_carbon _in_sea_water,mol m-3
zos,Sea Surface Height Above Geoid,sea_surface_height_above_geoid,m
zossq,Square of Sea Surface Height Above Geoid,square_of_sea_surface_height_above_geoid,m2
zostoga,Global Average Thermosteric Sea Level Change,global_average_thermosteric_sea_level_change,m
zsatarag,Aragonite Saturation Depth,minimum_depth_of_aragonite_undersaturation_in_sea_water,m
zsatcalc,Calcite Saturation Depth,minimum_depth_of_calcite_undersaturation_in_sea_water,m
ztp,Tropopause Altitude Above Geoid,tropopause_altitude,m
zvelbase,Upward Component of Land-Ice Basal Velocity,land_ice_basal_upward_velocity,m s-1
zvelsurf,Upward Component of Land-Ice Surface Velocity,land_ice_surface_upward_velocity,m s-1
